#model_type   : RNN
#input_length : 21
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 1000
#max_norm     : 10.0
#train_step accuracy loss
0 0.112 2.340
10 0.144 2.188
20 0.304 1.959
30 0.171 1.999
40 0.260 1.690
50 0.255 1.604
60 0.364 1.422
70 0.210 1.591
80 0.510 1.148
90 0.092 2.283
100 0.510 1.149
110 0.570 1.014
120 0.377 1.288
130 0.585 0.928
140 0.544 0.981
150 0.618 0.847
160 0.614 0.843
170 0.702 0.711
180 0.621 0.856
190 0.666 0.743
200 0.566 0.956
210 0.811 0.525
220 0.607 0.818
230 0.880 0.461
240 0.489 0.991
250 0.937 0.329
260 0.941 0.298
270 0.977 0.211
280 0.973 0.190
290 0.835 0.399
300 0.999 0.117
