#model_type   : RNN
#input_length : 29
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 1000
#max_norm     : 10.0
#train_step accuracy loss
0 0.102 2.361
10 0.147 2.380
20 0.033 2.452
30 0.022 2.570
40 0.364 1.898
50 0.324 1.922
60 0.322 1.759
70 0.391 1.596
80 0.043 2.331
90 0.415 1.421
100 0.461 1.311
110 0.170 1.715
120 0.491 1.170
130 0.539 1.109
140 0.456 1.231
150 0.589 0.981
160 0.624 1.014
170 0.548 1.029
180 0.618 0.948
190 0.338 1.300
200 0.542 0.961
210 0.245 1.418
220 0.330 1.166
230 0.435 1.041
240 0.401 1.090
250 0.432 1.094
260 0.728 0.696
270 0.566 0.847
280 0.823 0.584
290 0.730 0.653
300 0.850 0.526
310 0.827 0.534
320 0.683 0.664
330 0.695 0.634
340 0.908 0.416
350 0.937 0.368
360 0.644 0.630
370 0.938 0.309
380 0.988 0.250
390 0.925 0.289
400 0.992 0.216
410 0.971 0.213
420 0.950 0.242
430 0.884 0.429
440 0.993 0.142
450 0.970 0.205
460 0.996 0.105
