#model_type   : RNN
#input_length : 25
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 1000
#max_norm     : 10.0
#train_step accuracy loss
0 0.099 2.374
10 0.032 2.733
20 0.122 2.205
30 0.280 1.814
40 0.070 2.214
50 0.126 1.947
60 0.145 1.886
70 0.389 1.469
80 0.184 1.753
90 0.282 1.417
100 0.442 1.231
110 0.517 1.129
120 0.300 1.332
130 0.572 1.005
140 0.485 1.142
150 0.447 1.089
160 0.500 1.008
170 0.580 0.917
180 0.410 1.159
190 0.668 0.780
200 0.412 1.160
210 0.710 0.703
220 0.747 0.633
230 0.516 0.921
240 0.773 0.581
250 0.848 0.482
260 0.284 1.339
270 0.883 0.416
280 0.906 0.351
290 0.333 1.288
300 0.929 0.306
310 0.933 0.276
320 0.918 0.255
330 0.941 0.226
340 0.886 0.269
350 0.718 0.618
360 0.934 0.212
370 0.939 0.198
380 0.962 0.169
390 0.987 0.140
400 0.998 0.103
