#model_type   : RNN
#input_length : 50
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 1000
#max_norm     : 10.0
#train_step accuracy loss
0 0.102 2.375
10 0.182 2.195
20 0.166 2.060
30 0.186 2.063
40 0.194 2.053
50 0.205 2.051
60 0.184 2.041
70 0.191 2.066
80 0.183 2.028
90 0.185 2.053
100 0.200 2.012
110 0.192 2.000
120 0.204 1.989
130 0.184 2.018
140 0.206 1.978
150 0.192 1.984
160 0.199 1.960
170 0.194 1.996
180 0.187 1.980
190 0.208 1.972
200 0.198 1.957
210 0.204 1.961
220 0.180 1.975
230 0.200 1.946
240 0.196 1.958
250 0.172 2.010
260 0.192 1.971
270 0.191 1.955
280 0.200 1.957
290 0.209 1.959
300 0.189 2.007
310 0.192 1.937
320 0.195 1.934
330 0.187 1.937
340 0.202 1.921
350 0.205 1.926
360 0.199 1.968
370 0.188 1.967
380 0.191 1.937
390 0.198 1.947
400 0.190 1.922
410 0.195 1.933
420 0.201 1.959
430 0.205 1.884
440 0.185 1.924
450 0.184 1.899
460 0.188 1.908
470 0.201 1.868
480 0.195 1.885
490 0.190 1.891
500 0.200 1.879
510 0.194 1.878
520 0.199 1.872
530 0.195 1.899
540 0.192 1.868
550 0.183 1.876
560 0.212 1.858
570 0.203 1.867
580 0.196 1.886
590 0.192 1.884
600 0.205 1.847
610 0.190 1.852
620 0.202 1.851
630 0.205 1.841
640 0.196 1.877
650 0.199 1.867
660 0.198 1.851
670 0.195 1.901
680 0.193 1.848
690 0.198 1.846
700 0.194 1.839
710 0.209 1.831
720 0.196 1.832
730 0.212 1.836
740 0.200 1.868
750 0.191 1.858
760 0.198 1.846
770 0.185 1.847
780 0.200 1.840
790 0.192 1.853
800 0.197 1.840
810 0.191 1.840
820 0.204 1.815
830 0.202 1.819
840 0.193 1.831
850 0.189 1.828
860 0.186 1.823
870 0.202 1.830
880 0.203 1.827
890 0.197 1.844
900 0.214 1.828
910 0.213 1.835
920 0.208 1.816
930 0.194 1.807
940 0.208 1.823
950 0.202 1.830
960 0.187 1.814
970 0.194 1.833
980 0.205 1.817
990 0.208 1.816
1000 0.210 1.804
