#model_type   : RNN
#input_length : 100
#input_dim    : 10
#num_classes  : 10
#num_hidden   : 128
#batch_size   : 128
#learn_rate   : 0.001
#train_steps  : 1000
#max_norm     : 10.0
#train_step accuracy loss
0 0.092 2.370
10 0.202 2.106
20 0.189 2.066
30 0.193 2.068
40 0.183 2.059
50 0.203 2.055
60 0.186 2.061
70 0.193 2.038
80 0.182 2.033
90 0.200 2.012
100 0.195 2.030
110 0.202 2.011
120 0.193 2.026
130 0.193 2.010
140 0.194 1.993
150 0.200 1.995
160 0.198 1.994
170 0.191 1.991
180 0.204 1.989
190 0.194 1.981
200 0.203 1.977
210 0.194 1.992
220 0.199 1.972
230 0.193 1.989
240 0.207 1.957
250 0.197 1.947
260 0.192 1.960
270 0.169 1.966
280 0.201 1.947
290 0.194 1.945
300 0.201 1.931
310 0.203 1.922
320 0.204 1.945
330 0.188 1.938
340 0.186 1.965
350 0.189 1.940
360 0.186 1.917
370 0.196 1.893
380 0.207 1.906
390 0.207 1.918
400 0.198 1.911
410 0.211 1.894
420 0.195 1.916
430 0.203 1.901
440 0.193 1.903
450 0.199 1.931
460 0.193 1.893
470 0.204 1.920
480 0.201 1.878
490 0.197 1.901
500 0.200 1.897
510 0.194 1.891
520 0.184 1.897
530 0.192 1.880
540 0.182 1.888
550 0.194 1.880
560 0.197 1.921
570 0.195 1.941
580 0.201 1.876
590 0.201 1.848
600 0.207 1.856
610 0.185 1.890
620 0.187 1.957
630 0.190 1.877
640 0.206 1.852
650 0.171 2.099
660 0.194 1.886
670 0.196 1.874
680 0.194 1.878
690 0.191 1.855
700 0.192 1.853
710 0.194 1.851
720 0.196 1.883
730 0.195 1.874
740 0.172 1.857
750 0.194 1.894
760 0.186 1.862
770 0.189 1.862
780 0.191 1.881
790 0.194 1.838
800 0.204 1.853
810 0.192 1.845
820 0.191 1.869
830 0.186 1.890
840 0.194 1.865
850 0.199 1.863
860 0.199 1.883
870 0.200 1.864
880 0.183 1.888
890 0.193 1.887
900 0.197 1.857
910 0.184 1.894
920 0.180 1.897
930 0.184 1.919
940 0.184 1.920
950 0.195 1.889
960 0.197 1.920
970 0.179 1.958
980 0.169 1.940
990 0.186 1.960
1000 0.186 1.983
